iter	Passed	Remaining
402	8224	12183
403	8255	12179
404	8277	12160
405	8297	12140
406	8316	12116
407	8336	12096
408	8355	12073
409	8371	12046
410	8387	12020
411	8406	11997
412	8420	11968
413	8437	11943
414	8454	11917
415	8468	11888
416	8485	11862
417	8502	11838
418	8519	11814
419	8533	11784
420	8548	11756
421	8563	11728
422	8578	11701
423	8593	11674
424	8612	11651
425	8629	11627
426	8645	11601
427	8660	11573
428	8678	11551
429	8705	11539
430	8724	11517
431	8744	11497
432	8770	11484
433	8790	11464
434	8812	11445
435	8834	11428
436	8853	11406
437	8877	11390
438	8896	11369
439	8918	11350
440	8948	11342
441	8971	11325
442	8992	11306
443	9016	11290
444	9035	11268
445	9059	11253
446	9079	11232
447	9104	11218
448	9132	11206
449	9157	11192
450	9177	11171
451	9200	11154
452	9218	11131
453	9235	11106
454	9256	11087
455	9273	11062
456	9300	11051
457	9321	11030
458	9339	11008
459	9358	10985
460	9380	10967
461	9403	10950
462	9420	10926
463	9439	10904
464	9462	10886
465	9484	10868
466	9504	10848
467	9527	10830
468	9552	10815
469	9573	10795
470	9593	10774
471	9614	10755
472	9636	10736
473	9655	10715
474	9673	10692
475	9694	10671
476	9713	10650
477	9733	10629
478	9754	10609
479	9774	10588
480	9794	10568
481	9815	10548
482	9834	10527
483	9853	10504
484	9872	10482
485	9896	10466
486	9915	10445
487	9933	10421
488	9948	10395
489	9971	10378
490	9992	10358
491	10010	10336
492	10030	10315
493	10047	10291
494	10064	10268
495	10080	10242
496	10097	10219
497	10129	10210
498	10157	10198
499	10188	10188
500	10219	10179
501	10236	10154
502	10256	10133
503	10272	10109
504	10288	10084
505	10309	10065
506	10338	10052
507	10359	10033
508	10384	10017
509	10406	9998
510	10433	9983
511	10466	9975
512	10487	9955
513	10525	9952
514	10555	9940
515	10579	9923
516	10599	9902
517	10618	9880
518	10641	9862
519	10655	9835
520	10672	9812
521	10690	9788
522	10705	9763
523	10724	9742
524	10744	9720
525	10763	9699
526	10779	9674
527	10796	9651
528	10810	9625
529	10827	9601
530	10840	9574
531	10857	9551
532	10872	9526
533	10889	9502
534	10903	9477
535	10923	9456
536	10945	9437
537	10962	9413
538	10981	9392
539	11000	9370
540	11022	9351
541	11040	9329
542	11055	9304
543	11072	9281
544	11086	9255
545	11099	9228
546	11114	9204
547	11128	9178
548	11145	9156
549	11160	9131
550	11176	9107
551	11193	9084
552	11209	9060
553	11221	9034
554	11235	9008
555	11251	8984
556	11265	8959
557	11279	8934
558	11292	8908
559	11305	8883
560	11323	8860
561	11338	8837
562	11359	8817
563	11383	8799
564	11398	8776
565	11418	8755
566	11437	8734
567	11452	8710
568	11464	8683
569	11477	8658
570	11490	8633
571	11508	8611
572	11519	8584
573	11530	8557
574	11541	8530
575	11552	8503
576	11565	8478
577	11584	8457
578	11598	8433
579	11613	8409
580	11627	8385
581	11639	8359
582	11653	8335
583	11666	8310
584	11680	8286
585	11692	8260
586	11706	8236
587	11719	8211
588	11732	8186
589	11745	8162
590	11758	8137
591	11772	8113
592	11788	8090
593	11804	8068
594	11821	8046
595	11836	8023
596	11849	7998
597	11860	7973
598	11871	7947
599	11885	7923
600	11902	7901
601	11917	7878
602	11933	7856
603	11947	7832
604	11961	7809
605	11973	7784
606	11985	7759
607	11999	7736
608	12012	7712
609	12027	7689
610	12041	7666
611	12053	7641
612	12068	7618
613	12085	7597
614	12099	7574
615	12114	7551
616	12130	7529
617	12145	7507
618	12159	7484
619	12172	7460
620	12187	7437
621	12198	7413
622	12211	7389
623	12224	7366
624	12239	7343
625	12259	7324
626	12275	7302
627	12286	7278
628	12298	7253
629	12311	7230
630	12326	7208
631	12342	7186
632	12357	7164
633	12370	7141
634	12385	7119
635	12400	7097
636	12413	7073
637	12426	7050
638	12442	7029
639	12457	7007
640	12473	6985
641	12487	6963
642	12500	6940
643	12518	6920
644	12530	6896
645	12545	6875
646	12561	6853
647	12578	6832
648	12591	6810
649	12603	6786
650	12615	6762
651	12628	6740
652	12639	6716
653	12655	6695
654	12670	6674
655	12688	6653
656	12705	6633
657	12717	6609
658	12726	6585
659	12736	6561
660	12749	6538
661	12769	6519
662	12783	6497
663	12798	6476
664	12810	6453
665	12821	6430
666	12832	6406
667	12841	6382
668	12853	6359
669	12866	6337
670	12884	6317
671	12899	6296
672	12915	6275
673	12930	6254
674	12958	6239
675	12980	6221
676	12992	6198
677	13006	6177
678	13026	6158
679	13040	6136
680	13054	6115
681	13070	6094
682	13083	6072
683	13100	6052
684	13112	6030
685	13127	6008
686	13141	5987
687	13155	5966
688	13169	5944
689	13182	5922
690	13193	5899
691	13207	5878
692	13222	5857
693	13239	5837
694	13256	5817
695	13273	5797
696	13285	5775
697	13297	5753
698	13312	5732
699	13329	5712
700	13348	5693
701	13362	5672
702	13375	5650
703	13393	5631
704	13405	5609
705	13415	5586
706	13428	5565
707	13443	5544
708	13457	5523
709	13472	5502
710	13486	5482
711	13502	5461
712	13519	5442
713	13534	5421
714	13546	5399
715	13561	5379
716	13575	5358
717	13587	5336
718	13601	5315
719	13617	5295
720	13632	5275
721	13646	5254
722	13662	5234
723	13676	5213
724	13689	5192
725	13702	5171
726	13714	5150
727	13726	5128
728	13737	5106
729	13749	5085
730	13763	5064
731	13776	5043
732	13791	5023
733	13805	5003
734	13819	4982
735	13833	4961
736	13847	4941
737	13860	4920
738	13874	4900
739	13887	4879
740	13899	4858
741	13915	4838
742	13930	4818
743	13942	4797
744	13952	4775
745	13962	4753
746	13974	4733
747	13989	4712
748	14005	4693
749	14026	4675
750	14040	4655
751	14056	4635
752	14071	4615
753	14084	4595
754	14098	4575
755	14114	4555
756	14127	4535
757	14140	4514
758	14152	4493
759	14163	4472
760	14174	4451
761	14187	4431
762	14201	4411
763	14215	4391
764	14231	4371
765	14245	4351
766	14256	4330
767	14267	4310
768	14279	4289
769	14291	4269
770	14306	4249
771	14322	4230
772	14336	4209
773	14356	4191
774	14375	4173
775	14388	4153
776	14401	4133
777	14417	4113
778	14431	4094
779	14448	4075
780	14463	4055
781	14478	4036
782	14494	4016
783	14507	3996
784	14521	3977
785	14534	3957
786	14547	3937
787	14561	3917
788	14576	3898
789	14590	3878
790	14601	3858
791	14615	3838
792	14630	3819
793	14651	3801
794	14667	3782
795	14680	3762
796	14692	3742
797	14703	3721
798	14718	3702
799	14731	3682
800	14746	3663
801	14760	3644
802	14775	3624
803	14791	3605
804	14805	3586
805	14824	3568
806	14847	3550
807	14866	3532
808	14886	3514
809	14901	3495
810	14923	3477
811	14947	3460
812	14971	3443
813	14987	3424
814	15006	3406
815	15020	3386
816	15036	3368
817	15055	3349
818	15074	3331
819	15092	3312
820	15111	3294
821	15125	3275
822	15143	3256
823	15159	3237
824	15172	3218
825	15192	3200
826	15209	3181
827	15226	3162
828	15241	3143
829	15258	3125
830	15277	3107
831	15294	3088
832	15312	3069
833	15329	3051
834	15348	3032
835	15371	3015
836	15393	2997
837	15413	2979
838	15432	2961
839	15453	2943
840	15480	2926
841	15499	2908
842	15518	2890
843	15534	2871
844	15556	2853
845	15576	2835
846	15598	2817
847	15614	2798
848	15629	2779
849	15647	2761
850	15664	2742
851	15687	2724
852	15707	2706
853	15733	2689
854	15754	2671
855	15780	2654
856	15801	2636
857	15818	2618
858	15832	2598
859	15847	2579
860	15864	2561
861	15881	2542
862	15896	2523
863	15911	2504
864	15939	2487
865	15960	2469
866	15980	2451
867	15998	2432
868	16016	2414
869	16034	2395
870	16055	2377
871	16070	2358
872	16090	2340
873	16109	2322
874	16129	2304
875	16142	2285
876	16160	2266
877	16179	2248
878	16198	2229
879	16216	2211
880	16233	2192
881	16249	2174
882	16269	2155
883	16291	2137
884	16311	2119
885	16332	2101
886	16358	2084
887	16378	2065
888	16394	2046
889	16413	2028
890	16429	2009
891	16447	1991
892	16464	1972
893	16482	1954
894	16498	1935
895	16518	1917
896	16536	1898
897	16553	1880
898	16575	1862
899	16593	1843
900	16613	1825
901	16633	1807
902	16651	1788
903	16670	1770
904	16689	1751
905	16710	1733
906	16736	1716
907	16759	1698
908	16781	1679
909	16800	1661
910	16820	1643
911	16839	1624
912	16855	1606
913	16870	1587
914	16884	1568
915	16902	1549
916	16916	1531
917	16932	1512
918	16950	1494
919	16967	1475
920	16981	1456
921	16999	1438
922	17018	1419
923	17038	1401
924	17055	1382
925	17076	1364
926	17095	1346
927	17119	1328
928	17137	1309
929	17155	1291
930	17171	1272
931	17185	1253
932	17199	1235
933	17210	1216
934	17223	1197
935	17237	1178
936	17250	1159
937	17265	1141
938	17277	1122
939	17287	1103
940	17299	1084
941	17309	1065
942	17320	1046
943	17331	1028
944	17341	1009
945	17353	990
946	17362	971
947	17374	953
948	17388	934
949	17400	915
950	17415	897
951	17427	878
952	17438	860
953	17450	841
954	17461	822
955	17474	804
956	17486	785
957	17496	767
958	17509	748
959	17520	730
960	17532	711
961	17546	693
962	17556	674
963	17567	656
964	17577	637
965	17589	619
966	17599	600
967	17614	582
968	17627	563
969	17639	545
970	17649	527
971	17661	508
972	17674	490
973	17688	472
974	17701	453
975	17716	435
976	17732	417
977	17747	399
978	17760	380
979	17772	362
980	17786	344
981	17797	326
982	17811	308
983	17824	289
984	17838	271
985	17853	253
986	17867	235
987	17880	217
988	17897	199
989	17913	180
990	17926	162
991	17938	144
992	17951	126
993	17963	108
994	17977	90
995	17995	72
996	18011	54
997	18027	36
998	18043	18
999	18058	0
047	3055
950	58080	2992
951	58114	2930
952	58143	2867
953	58169	2804
954	58190	2741
955	58214	2679
956	58242	2616
957	58272	2554
958	58305	2492
959	58332	2430
960	58356	2368
961	58387	2306
962	58419	2244
963	58446	2182
964	58473	2120
965	58503	2059
966	58530	1997
967	58556	1935
968	58576	1873
969	58604	1812
970	58625	1750
971	58654	1689
972	58678	1628
973	58706	1567
974	58734	1506
975	58754	1444
976	58783	1383
977	58806	1322
978	58837	1262
979	58860	1201
980	58880	1140
981	58906	1079
982	58934	1019
983	58966	958
984	58989	898
985	59009	837
986	59033	777
987	59057	717
988	59072	657
989	59089	596
990	59108	536
991	59130	476
992	59152	416
993	59172	357
994	59193	297
995	59216	237
996	59240	178
997	59263	118
998	59289	59
999	59310	0
