iter	RMSE
385	0.6601094004
386	0.6588638528
387	0.6581680006
388	0.6576073333
389	0.6566253707
390	0.6555568978
391	0.6549722933
392	0.6544657334
393	0.6532787576
394	0.652845605
395	0.6522944969
396	0.6515665122
397	0.6510027082
398	0.6503240519
399	0.6495015405
400	0.6481989329
401	0.6474193642
402	0.6469515556
403	0.6458421732
404	0.6450889572
405	0.6439647985
406	0.6430984281
407	0.6419723033
408	0.6412553373
409	0.6406425181
410	0.6399382384
411	0.6394452739
412	0.638727583
413	0.6379954656
414	0.6370282832
415	0.6364024655
416	0.6358002273
417	0.6353267903
418	0.6348246239
419	0.6342127844
420	0.6336339866
421	0.632112496
422	0.6309799247
423	0.6304240994
424	0.6300258443
425	0.6293585707
426	0.6284316125
427	0.6279801853
428	0.6274733086
429	0.6262348486
430	0.6257627059
431	0.6248927166
432	0.6244234953
433	0.6239044107
434	0.6232406818
435	0.622610378
436	0.6221843112
437	0.6213821669
438	0.6207672992
439	0.620325994
440	0.619315618
441	0.6187634032
442	0.6178631368
443	0.6172483404
444	0.6166710169
445	0.6162500213
446	0.6155811774
447	0.6148793141
448	0.6141872447
449	0.6136753665
450	0.6130929097
451	0.6125634503
452	0.6117451557
453	0.6111114294
454	0.6103849114
455	0.6099957504
456	0.6093811482
457	0.608812298
458	0.6079601296
459	0.6075131143
460	0.6069942181
461	0.6065394014
462	0.6061754447
463	0.6054434559
464	0.6047333489
465	0.6041434398
466	0.6035965749
467	0.6029210985
468	0.6021525496
469	0.6015797013
470	0.6009410018
471	0.6006631027
472	0.6001773
473	0.5996381764
474	0.5990313599
475	0.598503719
476	0.5977737765
477	0.5971490649
478	0.5966937657
479	0.5962293341
480	0.5956913365
481	0.5951352684
482	0.5944115161
483	0.5938952819
484	0.5932876225
485	0.5925121343
486	0.5921615706
487	0.5918416329
488	0.5912530931
489	0.5906916831
490	0.5898660683
491	0.5892686297
492	0.5882990652
493	0.5878722117
494	0.5872659018
495	0.5870279062
496	0.5865510766
497	0.586323635
498	0.5859335042
499	0.5852921543
500	0.5847946405
501	0.5845226586
502	0.5838920086
503	0.5834614714
504	0.5831383131
505	0.5825203055
506	0.5820285089
507	0.5816164339
508	0.5810920351
509	0.5803201678
510	0.579532944
511	0.5791080246
512	0.5786601501
513	0.5783313531
514	0.5778090341
515	0.5776039671
516	0.5771680553
517	0.5766024707
518	0.57619754
519	0.5757794108
520	0.5754365044
521	0.5749665432
522	0.5744635296
523	0.5740589152
524	0.5734354028
525	0.5728154842
526	0.5723266934
527	0.5718122863
528	0.5712804354
529	0.5709274815
530	0.5701532053
531	0.569983611
532	0.5693868621
533	0.5690196994
534	0.5685841512
535	0.5680402641
536	0.5674862447
537	0.5666581245
538	0.5662846575
539	0.5658808655
540	0.56556019
541	0.5651950366
542	0.5646253849
543	0.5641664875
544	0.5635776716
545	0.5634142416
546	0.5629155974
547	0.5625648457
548	0.562143033
549	0.561751556
550	0.5611950309
551	0.5607588047
552	0.5601623117
553	0.5597790408
554	0.559015173
555	0.5585878534
556	0.5581559421
557	0.5572453164
558	0.5567094487
559	0.5561546221
560	0.555502558
561	0.554739952
562	0.5543310792
563	0.5539538344
564	0.5534354281
565	0.5529122408
566	0.5522147037
567	0.5519048062
568	0.5517551162
569	0.5512860402
570	0.5506980324
571	0.5499938249
572	0.5494626785
573	0.5488805384
574	0.5484459198
575	0.5478479492
576	0.5471211248
577	0.5466451379
578	0.5462430248
579	0.5457718039
580	0.5453188257
581	0.5449056009
582	0.5444133948
583	0.5441111681
584	0.5434755101
585	0.543036392
586	0.542522724
587	0.542159248
588	0.5418126175
589	0.541138482
590	0.5407503791
591	0.5400153574
592	0.5397373516
593	0.5388509384
594	0.5383123782
595	0.5377748834
596	0.5371683053
597	0.5364813842
598	0.5362897359
599	0.5360047986
600	0.5353894206
601	0.5349321637
602	0.5345219709
603	0.5341089043
604	0.5337313971
605	0.5331825335
606	0.532627045
607	0.5321661278
608	0.5316646418
609	0.5312349882
610	0.5308590948
611	0.5304646225
612	0.5302433119
613	0.5298162151
614	0.5294575064
615	0.5288962599
616	0.5285666958
617	0.5283196988
618	0.5280096219
619	0.5276955976
620	0.5273300293
621	0.5267771227
622	0.5261975123
623	0.5259275902
624	0.5257545343
625	0.5252857628
626	0.5247187838
627	0.5243156682
628	0.5238924911
629	0.5233111269
630	0.5228187094
631	0.5222936724
632	0.5219790324
633	0.5214174966
634	0.5210362629
635	0.5206387602
636	0.5202384205
637	0.5198152173
638	0.5194941012
639	0.5189758236
640	0.5187897191
641	0.5184411147
642	0.5179968859
643	0.5175521944
644	0.5172830678
645	0.5169688407
646	0.5163455048
647	0.516119991
648	0.5158403009
649	0.5154002582
650	0.5148934166
651	0.5144703734
652	0.5140667095
653	0.5139291074
654	0.5134527376
655	0.5128765154
656	0.5122922017
657	0.5118532343
658	0.5115907328
659	0.5113249617
660	0.5110430982
661	0.5108593517
662	0.510607365
663	0.5102205574
664	0.5097718965
665	0.509266398
666	0.5088859607
667	0.5085246047
668	0.5081203771
669	0.5077815751
670	0.5074051928
671	0.5069987728
672	0.506707413
673	0.5063493818
674	0.5060035325
675	0.5057564531
676	0.5053901117
677	0.5048968471
678	0.5041850351
679	0.5036074504
680	0.5033474558
681	0.5029629997
682	0.5025812849
683	0.5022986894
684	0.5019914616
685	0.5017402031
686	0.5014592519
687	0.5009877496
688	0.5006107123
689	0.5002742489
690	0.4999407446
691	0.4995541365
692	0.4991393237
693	0.4987352828
694	0.4983015758
695	0.4977070569
696	0.497187447
697	0.4967813326
698	0.4964082865
699	0.4958940242
700	0.4954898302
701	0.4951975848
702	0.4948115107
703	0.4945828318
704	0.4940512089
705	0.4937774891
706	0.4934365622
707	0.4930687053
708	0.4927698821
709	0.4923114542
710	0.4918374111
711	0.4915205341
712	0.4908792875
713	0.4903908899
714	0.4900871667
715	0.4899116645
716	0.4895731945
717	0.4893758143
718	0.4888134711
719	0.4884138507
720	0.4881272218
721	0.4876591537
722	0.487232356
723	0.4871110665
724	0.4865534979
725	0.486292613
726	0.4860386129
727	0.4856519526
728	0.4854920265
729	0.4851337632
730	0.484909099
731	0.4844546015
732	0.4841853993
733	0.4840325308
734	0.4836802421
735	0.4834578042
736	0.4831491779
737	0.4829078476
738	0.4826984021
739	0.4824872203
740	0.4820099072
741	0.4817230224
742	0.481368556
743	0.4810157603
744	0.4807429214
745	0.4804667711
746	0.480115699
747	0.4798078627
748	0.4793082516
749	0.4788933383
750	0.4786426559
751	0.4783149813
752	0.4779058269
753	0.4776391066
754	0.4774390139
755	0.4771682792
756	0.4768301633
757	0.4764256522
758	0.4760319404
759	0.4756725172
760	0.475413559
761	0.47518297
762	0.4744755965
763	0.4741913173
764	0.4739812759
765	0.4737319363
766	0.4734332993
767	0.473078598
768	0.4727323735
769	0.472442369
770	0.472172428
771	0.4718530772
772	0.4716093701
773	0.4713145144
774	0.4710956386
775	0.4707021002
776	0.4702230694
777	0.4700173716
778	0.4696716477
779	0.4692334407
780	0.4688315696
781	0.4685233356
782	0.4681714384
783	0.4679561957
784	0.4676632141
785	0.4673409766
786	0.467116339
787	0.4665252063
788	0.4662764161
789	0.4660380098
790	0.4655677442
791	0.4651701487
792	0.4647835139
793	0.4645164442
794	0.4641695756
795	0.463878111
796	0.4634689658
797	0.4632060929
798	0.4628979515
799	0.4625896844
800	0.4621899198
801	0.4619678467
802	0.4616118586
803	0.4613518333
804	0.4611367996
805	0.4608098072
806	0.4604641054
807	0.4601162659
808	0.4599611379
809	0.4596064244
810	0.45937466
811	0.4588925875
812	0.4585794396
813	0.4583558283
814	0.4581237315
815	0.4579475465
816	0.4577605117
817	0.457422155
818	0.4569271974
819	0.4566625897
820	0.4563557529
821	0.4562746606
822	0.4560181195
823	0.455657129
824	0.455478481
825	0.4552285497
826	0.454933721
827	0.4545310916
828	0.4543476773
829	0.4540411229
830	0.4536077884
831	0.4532354504
832	0.4530287625
833	0.4525154677
834	0.4521973896
835	0.4517379464
836	0.4513795398
837	0.4510949733
838	0.4508859969
839	0.4504516611
840	0.4500987698
841	0.4498658427
842	0.4495702523
843	0.449366813
844	0.4490432549
845	0.4486912348
846	0.4481084917
847	0.4478917746
848	0.447584948
849	0.4472310169
850	0.4469870698
851	0.4466692139
852	0.4463001366
853	0.4459969945
854	0.4458378591
855	0.4455971994
856	0.4452599074
857	0.4448447879
858	0.4446840069
859	0.4445364783
860	0.4443729899
861	0.4439235511
862	0.4437082193
863	0.4433173227
864	0.4429951175
865	0.4426085622
866	0.442378367
867	0.4420570639
868	0.4417913739
869	0.4415125563
870	0.4413108868
871	0.4409894945
872	0.4408827536
873	0.4404312575
874	0.440200915
875	0.4399238467
876	0.4394540037
877	0.4388431019
878	0.4382175896
879	0.4379719461
880	0.4378613516
881	0.437617593
882	0.437339545
883	0.4370048232
884	0.4366881801
885	0.4363646536
886	0.4360907971
887	0.4358031052
888	0.4356069775
889	0.4353807974
890	0.4351377684
891	0.4348056544
892	0.4345764213
893	0.4343263474
894	0.4340667612
895	0.4339041541
896	0.4335990812
897	0.4333431895
898	0.4330267531
899	0.432733666
900	0.4324317187
901	0.4321080498
902	0.4319227014
903	0.4316620148
904	0.4312462747
905	0.4309981153
906	0.4308018605
907	0.4302350413
908	0.4299662447
909	0.4295020044
910	0.4292667438
911	0.428970164
912	0.4286051321
913	0.428366328
914	0.4281746185
915	0.4279228551
916	0.4276912173
917	0.4275658245
918	0.427266244
919	0.4270791016
920	0.4267970847
921	0.4266624261
922	0.4265233194
923	0.4263107416
924	0.4261473984
925	0.4258748494
926	0.4255944301
927	0.4253226157
928	0.425121413
929	0.4246772592
930	0.4243906159
931	0.4239551045
932	0.4234701692
933	0.4231649109
934	0.422860499
935	0.4226339719
936	0.4223154889
937	0.4221576279
938	0.4219294547
939	0.4217821151
940	0.4216593234
941	0.4213592765
942	0.4210318883
943	0.4208539454
944	0.4207205346
945	0.4204114871
946	0.4202211706
947	0.4199883384
948	0.4195497076
949	0.4191750531
950	0.4189624667
951	0.4186344138
952	0.4184485645
953	0.4181304028
954	0.4179246815
955	0.4176875219
956	0.4174395426
957	0.417180076
958	0.416884092
959	0.4165773731
960	0.4162828918
961	0.4160417441
962	0.4158596063
963	0.4155670212
964	0.4153606397
965	0.4150664124
966	0.4147197012
967	0.4144615983
968	0.4142832472
969	0.4140985345
970	0.4137558763
971	0.413460239
972	0.413292423
973	0.4130691852
974	0.4129005851
975	0.4126327688
976	0.4124503515
977	0.4122625511
978	0.4120255896
979	0.4117602642
980	0.411458217
981	0.4113618499
982	0.4111119943
983	0.4108258686
984	0.410575756
985	0.4104500797
986	0.4103001511
987	0.4101217584
988	0.4098958947
989	0.4096203435
990	0.4093594705
991	0.4091361168
992	0.4088902127
993	0.4084842418
994	0.4082369266
995	0.4080240526
996	0.4077450395
997	0.4076573542
998	0.4074112741
999	0.4072365484
4021644162
